     0:     12   1016   1018   1023   1355   1015   1019   1023
     1:     11   1016   1019   1023   1355   1016   1018   1023
     2:     11   1016   1018   1023   1354   1015   1018   1023
     3:     11   1016   1018   1023   1355   1015   1018   1023
     4:     10   1016   1018   1023   1355   1016   1018   1023
     5:     11   1015   1018   1023   1355   1016   1018   1023
     6:     11   1016   1018   1023   1355   1015   1018   1023
     7:     11   1016   1018   1023   1355   1016   1018   1023
     8:     11   1016   1018   1023   1355   1015   1018   1023
     9:     11   1016   1018   1023   1355   1016   1018   1023
    10:     11   1015   1018   1023   1354   1016   1018   1023
    11:     11   1016   1018   1023   1355   1016   1018   1023
    12:     11   1016   1018   1023   1355   1015   1018   1023
    13:     11   1016   1018   1023   1355   1016   1018   1023
    14:     11   1016   1018   1023   1355   1016   1018   1023
    15:     11   1015   1019   1023   1355   1016   1019   1023
    16:     12   1015   1018   1023   1355   1016   1018   1023
    17:     11   1016   1017   1023   1355   1016   1018   1023
    18:     11   1016   1018   1023   1355   1015   1017   1023
    19:     11   1016   1018   1023   1355   1016   1018   1023
    20:     11   1016   1018   1023   1355   1016   1018   1023
    21:     11   1016   1018   1023   1355   1016   1018   1023
    22:     11   1016   1018   1023   1355   1016   1018   1023
    23:     11   1016   1019   1023   1355   1016   1018   1023
    24:     11   1016   1017   1023   1355   1016   1018   1023
    25:     11   1016   1019   1023   1355   1016   1018   1023
    26:     11   1015   1018   1023   1355   1016   1018   1023
    27:     11   1016   1018   1023   1355   1015   1018   1023
    28:     11   1016   1018   1023   1355   1016   1019   1023
    29:     11   1016   1018   1023   1355   1015   1018   1023
    30:     11   1016   1018   1023   1355   1016   1019   1023
    31:     11   1015   1018   1023   1355   1016   1018   1023
    32:     11   1015   1018   1023   1354   1016   1018   1023
    33:     11   1016   1018   1023   1355   1016   1018   1023
    34:     12   1016   1018   1023   1355   1016   1018   1023
    35:     11   1015   1018   1023   1355   1016   1018   1023
    36:     11   1015   1018   1023   1355   1016   1018   1023
    37:     11   1015   1018   1023   1355   1016   1018   1023
    38:     11   1016   1018   1023   1355   1016   1018   1023
    39:     11   1015   1018   1023   1355   1016   1018   1023
    40:     11   1016   1019   1023   1355   1016   1018   1023
    41:     11   1016   1018   1023   1355   1016   1018   1023
    42:     11   1016   1018   1023   1355   1016   1017   1023
    43:     11   1016   1018   1023   1355   1016   1018   1023
    44:     11   1016   1018   1023   1355   1016   1018   1023
    45:     11   1015   1018   1023   1355   1016   1017   1023
    46:     10   1015   1018   1023   1355   1015   1018   1023
    47:     11   1015   1018   1023   1355   1016   1018   1023
    48:     11   1016   1018   1023   1355   1015   1018   1023
