# delay 35_H_I 35_H_Q 22_H_I 22_H_Q 35_V_I 35_V_Q 22_V_I 22_V_Q
   161 1015.8 1018.9 1022.6 1019.0 1015.7 1018.8 1022.6 1018.9
   163 1015.7 1018.9 1022.5 1019.0 1015.7 1018.9 1022.7 1019.0
   165 1015.8 1018.8 1022.5 1018.9 1015.8 1018.8 1022.6 1019.0
   167 1015.8 1018.9 1022.7 1019.0 1015.9 1018.8 1022.6 1019.0
   169 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.5 1019.0
   171 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
   173 1015.8 1018.9 1022.6 1018.9 1015.8 1018.9 1022.7 1019.0
   175 1015.8 1018.8 1022.6 1019.0 1015.8 1019.0 1022.7 1019.0
   177 1015.8 1018.9 1022.5 1019.0 1015.8 1018.9 1022.7 1019.0
   179 1015.8 1018.9 1022.7 1019.0 1015.8 1018.9 1022.7 1019.0
   181 1015.9 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1018.9
   183 1015.8 1018.9 1022.6 1019.0 1015.8 1018.8 1022.5 1019.0
   185 1015.7 1018.9 1022.5 1019.0 1015.8 1018.9 1022.5 1019.0
   187 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
   189 1015.8 1018.9 1022.7 1018.9 1015.8 1018.9 1022.6 1019.0
   191 1015.8 1018.9 1022.6 1018.9 1015.8 1018.9 1022.7 1018.9
   193 1015.8 1018.9 1022.7 1019.0 1015.8 1018.9 1022.6 1019.0
   195 1015.9 1018.9 1022.5 1019.0 1015.8 1018.9 1022.6 1018.9
   197 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
   199 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
   201 1015.8 1018.9 1022.7 1019.0 1015.7 1018.9 1022.6 1019.0
   203 1015.8 1018.8 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
   205 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
   207 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
   209 1015.8 1018.8 1022.5 1019.0 1015.8 1018.9 1022.6 1019.0
   211 1015.8 1018.9 1022.7 1019.0 1015.7 1018.9 1022.7 1019.0
   213 1015.7 1018.9 1022.6 1019.0 1015.7 1018.9 1022.6 1019.0
   215 1015.8 1018.9 1022.5 1019.0 1015.7 1018.9 1022.6 1019.0
   217 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
   219 1015.8 1018.9 1022.6 1019.0 1015.7 1018.9 1022.6 1019.0
   221 1015.8 1018.9 1022.7 1019.0 1015.8 1018.9 1022.7 1019.0
   223 1015.8 1018.9 1022.6 1018.9 1015.8 1018.9 1022.6 1019.0
   225 1015.9 1018.9 1022.5 1019.0 1015.8 1018.9 1022.6 1019.0
   227 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
   229 1015.8 1018.9 1022.7 1019.0 1015.8 1018.9 1022.6 1019.0
   231 1015.8 1018.9 1022.5 1019.0 1015.8 1018.9 1022.6 1019.0
   233 1015.8 1018.9 1022.5 1018.9 1015.8 1018.9 1022.6 1019.0
   235 1015.7 1018.9 1022.5 1019.0 1015.7 1018.9 1022.5 1019.0
   237 1015.7 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
   239 1015.7 1018.9 1022.6 1019.0 1015.7 1018.9 1022.7 1019.0
   241 1015.7 1018.9 1022.6 1019.0 1015.8 1018.9 1022.7 1019.0
   243 1015.8 1018.9 1022.7 1019.0 1015.8 1018.9 1022.6 1019.0
   245 1015.8 1018.9 1022.6 1019.0 1015.8 1019.0 1022.7 1019.0
   247 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.5 1019.0
   249 1015.8 1018.9 1022.6 1019.0 1015.8 1018.9 1022.6 1019.0
